# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.4766250610e-10
5.2536759800e-01 4.9307997053e-05 0.0000000000e+00 7.2529430691e+02 5.3011025446e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 6.2729985841e+02
5.1008973938e-01 9.8615994107e-05 0.0000000000e+00 7.3832729675e+02 5.1467182861e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.0520659663e+02
4.3069853596e-01 1.4792399116e-04 0.0000000000e+00 7.3831622206e+02 4.3446192828e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.2425875148e+02
2.1279027744e-01 1.9723198821e-04 0.0000000000e+00 7.3832729675e+02 2.1437817610e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.2753316755e+02
9.3613900775e-02 2.4653998527e-04 0.0000000000e+00 1.0232057779e+02 9.4020492789e-02 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 3.4305691730e+01
1.1180790474e-01 2.9584798232e-04 0.0000000000e+00 3.4709816899e+01 1.1244283492e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.2662059898e+01
1.4324374118e-01 3.4515597937e-04 0.0000000000e+00 2.1720678782e+01 1.4440778471e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0481269261e+01
1.8522043453e-01 3.9446397643e-04 0.0000000000e+00 1.7125180775e+01 1.8733638319e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0041050415e+01
2.3685388855e-01 4.4377197348e-04 0.0000000000e+00 1.5026123643e+01 2.4051225628e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 9.9533758020e+00
2.9519449760e-01 4.9307997053e-04 0.0000000000e+00 1.3963862069e+01 3.0107798650e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.0014286586e+01
