# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 1.4766250610e-10
6.5459732577e-01 4.9806057630e-07 0.0000000000e+00 4.4320178035e+02 6.6084112531e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 3.4632764181e+02
6.0713996606e-01 1.9922423052e-06 0.0000000000e+00 4.1638165478e+02 6.1281567389e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 3.2044240449e+02
5.8192731777e-01 4.4825451867e-06 0.0000000000e+00 4.4561398582e+02 5.8730648735e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 3.4616521305e+02
5.6298291657e-01 7.9689692207e-06 0.0000000000e+00 4.8206123091e+02 5.6814363783e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 3.7968460193e+02
5.4927540236e-01 1.2451514407e-05 0.0000000000e+00 5.2160821339e+02 5.5428081641e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 4.1743452162e+02
5.3963811952e-01 1.7930180747e-05 0.0000000000e+00 5.6256002292e+02 5.4453599457e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 4.5779068454e+02
5.3310996920e-01 2.4404968238e-05 0.0000000000e+00 6.0392997402e+02 5.3793595731e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 4.9970468689e+02
5.2892600915e-01 3.1875876883e-05 0.0000000000e+00 6.4521632420e+02 5.3370651370e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 5.4244559928e+02
5.2648542485e-01 4.0342906680e-05 0.0000000000e+00 6.8635085166e+02 5.3123981802e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 5.8576239545e+02
5.2533474153e-01 4.9806057630e-05 0.0000000000e+00 7.2733773104e+02 5.3007709990e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 6.2949264663e+02
5.2384337148e-01 6.0265329732e-05 0.0000000000e+00 7.3832729675e+02 5.2857003769e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 6.6024336352e+02
5.2138281112e-01 7.1720722987e-05 0.0000000000e+00 7.3832729675e+02 5.2608354261e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 6.7982341183e+02
5.1743119428e-01 8.4172237394e-05 0.0000000000e+00 7.3832729675e+02 5.2209032124e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 6.9404331117e+02
5.1071145915e-01 9.7619872954e-05 0.0000000000e+00 7.3831991362e+02 5.1530005729e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.0456426473e+02
4.9903599552e-01 1.1206362967e-04 0.0000000000e+00 7.3831991362e+02 5.0350264526e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.1256757256e+02
4.7874500787e-01 1.2750350753e-04 0.0000000000e+00 7.3831991362e+02 4.8300118585e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.1865126781e+02
4.4244766911e-01 1.4393950655e-04 0.0000000000e+00 7.3832729675e+02 4.4633094350e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.2336908488e+02
3.7773834893e-01 1.6137162672e-04 0.0000000000e+00 7.3831991362e+02 3.8096554559e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.2675793940e+02
2.8468013068e-01 1.7979986804e-04 0.0000000000e+00 7.3832360519e+02 2.8697816484e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.2828255477e+02
2.0607499059e-01 1.9922423052e-04 0.0000000000e+00 7.3832729675e+02 2.0759673945e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.0000000000e+00 0.0000000000e+00 7.2731167380e+02
