# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.4766250610e-10
6.1027717516e-01 4.9307997053e-05 0.0000000000e+00 7.3832591241e+02 6.1584327133e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 6.5030429253e+02
5.8739958595e-01 9.8615994107e-05 0.0000000000e+00 7.3831760640e+02 5.9272381781e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.1578430797e+02
5.0640206541e-01 1.4792399116e-04 0.0000000000e+00 7.3831483773e+02 5.1089005722e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.2623604473e+02
2.0879927124e-01 1.9723198821e-04 0.0000000000e+00 7.3832406663e+02 2.1033857809e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.2927235501e+02
9.9083837333e-02 2.4653998527e-04 0.0000000000e+00 6.6285821560e+01 9.9554388225e-02 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.9441614710e+01
1.2841816874e-01 2.9584798232e-04 0.0000000000e+00 2.7394985503e+01 1.2931122225e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1146673429e+01
1.7230465302e-01 3.4515597937e-04 0.0000000000e+00 1.9070648713e+01 1.7408121229e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0306842926e+01
2.2637210790e-01 3.9446397643e-04 0.0000000000e+00 1.6063820462e+01 2.2963218894e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0190558702e+01
2.9054052217e-01 4.4377197348e-04 0.0000000000e+00 1.4652151042e+01 2.9611234107e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0273157417e+01
