# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.4766250610e-10
7.2470652540e-01 4.9806057630e-07 0.0000000000e+00 5.4474413779e+02 7.3160994295e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 4.2721508614e+02
6.0694322233e-01 1.9922423052e-06 0.0000000000e+00 5.0773222781e+02 6.1248034708e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 3.8913869389e+02
5.9300734658e-01 4.4825451867e-06 0.0000000000e+00 5.3805790309e+02 5.9838529952e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 4.1712073879e+02
5.8887291754e-01 7.9689692207e-06 0.0000000000e+00 5.7511931029e+02 5.9420411329e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 4.5261742092e+02
5.8943279020e-01 1.2451514407e-05 0.0000000000e+00 6.1173669893e+02 5.9477019839e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 4.8861084895e+02
5.9244151899e-01 1.7930180747e-05 0.0000000000e+00 6.4665579570e+02 5.9781224418e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 5.2365554538e+02
5.9670784435e-01 2.4404968238e-05 0.0000000000e+00 6.8039504166e+02 6.0212567761e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 5.5806021714e+02
6.0155763380e-01 3.1875876883e-05 0.0000000000e+00 7.1343651017e+02 6.0702867425e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 5.9218317651e+02
6.0661547766e-01 4.0342906680e-05 0.0000000000e+00 7.3831391484e+02 6.1214177822e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 6.2613470895e+02
6.1043760344e-01 4.9806057630e-05 0.0000000000e+00 7.3831437628e+02 6.1600543266e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 6.5148882269e+02
6.1262781535e-01 6.0265329732e-05 0.0000000000e+00 7.3832314374e+02 6.1821931992e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 6.7344023856e+02
6.1176556404e-01 7.1720722987e-05 0.0000000000e+00 7.3831806784e+02 6.1734772326e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 6.9139092341e+02
6.0537503079e-01 8.4172237394e-05 0.0000000000e+00 7.3831899073e+02 6.1088897277e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.0519829062e+02
5.8907695421e-01 9.7619872954e-05 0.0000000000e+00 7.3832729675e+02 5.9441883012e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.1521811455e+02
5.6534532656e-01 1.1206362967e-04 0.0000000000e+00 7.3832406663e+02 5.7043943532e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.2073746216e+02
5.4928751734e-01 1.2750350753e-04 0.0000000000e+00 7.3831668351e+02 5.5421531389e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.2288595162e+02
5.1749238941e-01 1.4393950655e-04 0.0000000000e+00 7.3832452808e+02 5.2209359065e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.2559602005e+02
4.5893753669e-01 1.6137162672e-04 0.0000000000e+00 7.3831483773e+02 4.6294482569e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.2812612481e+02
3.5348536942e-01 1.7979986804e-04 0.0000000000e+00 7.3832129796e+02 3.5644179041e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.2996360012e+02
1.9213383592e-01 1.9922423052e-04 0.0000000000e+00 7.3831529917e+02 1.9351069147e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 7.2867293752e+02
9.3406237847e-02 2.1964471415e-04 0.0000000000e+00 2.6453090502e+02 9.3812149825e-02 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.2985302353e+02
9.7068303963e-02 2.4106131893e-04 0.0000000000e+00 7.8279398584e+01 9.7515200673e-02 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 2.2697572969e+01
1.0756594309e-01 2.6347404486e-04 0.0000000000e+00 4.3462425427e+01 1.0814403278e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.3996559797e+01
1.2229249074e-01 2.8688289195e-04 0.0000000000e+00 3.0173073861e+01 1.2308581824e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1573048916e+01
1.4109544011e-01 3.1128786018e-04 0.0000000000e+00 2.3619158607e+01 1.4221351321e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0702763020e+01
1.6394314664e-01 3.3668894958e-04 0.0000000000e+00 1.9924964274e+01 1.6552887736e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0376982616e+01
1.9072011609e-01 3.6308616012e-04 0.0000000000e+00 1.7683983862e+01 1.9295366848e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0226551438e+01
2.2150991301e-01 3.9047949182e-04 0.0000000000e+00 1.6229133252e+01 2.2461906391e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0188251476e+01
2.5739928291e-01 4.1886894466e-04 0.0000000000e+00 1.5236160580e+01 2.6170311704e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0222859876e+01
2.9677186062e-01 4.4825451867e-04 0.0000000000e+00 1.4567209050e+01 3.0259965453e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0286077886e+01
3.3900678781e-01 4.7863621382e-04 0.0000000000e+00 1.4111712038e+01 3.4671553867e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0394056094e+01
3.8499999230e-01 5.1001403013e-04 0.0000000000e+00 1.3793776204e+01 3.9504603994e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0503418637e+01
4.3481149480e-01 5.4238796759e-04 0.0000000000e+00 1.3555944396e+01 4.4772946141e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0620625751e+01
4.8579631747e-01 5.7575802620e-04 0.0000000000e+00 1.3396500614e+01 5.0202186823e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0749368999e+01
5.3963137106e-01 6.1012420596e-04 0.0000000000e+00 1.3284275667e+01 5.5975625895e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0858270097e+01
5.9557942313e-01 6.4548650688e-04 0.0000000000e+00 1.3194949945e+01 6.2020580932e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.0986090454e+01
6.5061225212e-01 6.8184492895e-04 0.0000000000e+00 1.3135430708e+01 6.8011770998e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1087608427e+01
7.0946984798e-01 7.1919947217e-04 0.0000000000e+00 1.3084823133e+01 7.4469947431e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1192356517e+01
7.6627532549e-01 7.5755013655e-04 0.0000000000e+00 1.3049637926e+01 8.0753455334e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1278646794e+01
8.2422979812e-01 7.9689692207e-04 0.0000000000e+00 1.3019903543e+01 8.7216363998e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1354323829e+01
8.8089115327e-01 8.3723982875e-04 0.0000000000e+00 1.2993182974e+01 9.3587543480e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1423540628e+01
9.3684958623e-01 8.7857885659e-04 0.0000000000e+00 1.2965589985e+01 9.9931877835e-01 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 3.0000000000e-01 0.0000000000e+00 1.1474761060e+01
