# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
4.7614835511e-01 4.0679097569e-05 2.1066188812e-03 7.3832728233e+02 4.3228559656e-01 1.9565267638e+01 1.9658450304e+01 4.8029209332e-02 1.1110527326e-01 1.0108386923e+00 1.0000000000e+00 0.0000000000e+00 7.2649951559e+02
4.7610414705e-01 4.0770520505e-05 2.1060943604e-03 7.3832728233e+02 4.3227158030e-01 1.9565267638e+01 1.9658753128e+01 4.7998583776e-02 1.1103802786e-01 1.0108436432e+00 1.0000000000e+00 0.0000000000e+00 7.2649951559e+02
4.7556336739e-01 4.1044789312e-05 2.1053314209e-03 7.3832728233e+02 4.3178487093e-01 1.9565267638e+01 1.9659639968e+01 4.7939018845e-02 1.1102523982e-01 1.0108601511e+00 1.0000000000e+00 0.0000000000e+00 7.2652904809e+02
4.7446673458e-01 4.1501903992e-05 2.1053314209e-03 7.3831989920e+02 4.3076100060e-01 1.9557884513e+01 1.9659510186e+01 4.7855181869e-02 1.1109450903e-01 1.0108901363e+00 1.0000000000e+00 0.0000000000e+00 7.2656596372e+02
4.7292124339e-01 4.2141864543e-05 2.1033063438e-03 7.3832728233e+02 4.2931104103e-01 1.9565267638e+01 1.9657815817e+01 4.7743861681e-02 1.1121042116e-01 1.0109273603e+00 1.0000000000e+00 0.0000000000e+00 7.2663241185e+02
4.7105989337e-01 4.2964670966e-05 2.1016403050e-03 7.3832728233e+02 4.2758047416e-01 1.9565267638e+01 1.9657988859e+01 4.7594166553e-02 1.1131043027e-01 1.0109764307e+00 1.0000000000e+00 0.0000000000e+00 7.2670624310e+02
4.6950216118e-01 4.3970323261e-05 2.0961761475e-03 7.3832728233e+02 4.2625849511e-01 1.9580033889e+01 1.9671017479e+01 4.7342504254e-02 1.1106524514e-01 1.0110321360e+00 1.0000000000e+00 0.0000000000e+00 7.2676530810e+02
4.6730635555e-01 4.5158821427e-05 2.0943036874e-03 7.3832728233e+02 4.2430617182e-01 1.9565267638e+01 1.9661968825e+01 4.7076948297e-02 1.1095042077e-01 1.0111060667e+00 1.0000000000e+00 0.0000000000e+00 7.2685390561e+02
4.6420398012e-01 4.6530165465e-05 2.0922660828e-03 7.3831989920e+02 4.2142310883e-01 1.9557884513e+01 1.9660923363e+01 4.6826260545e-02 1.1111460089e-01 1.0111894891e+00 1.0000000000e+00 0.0000000000e+00 7.2696465249e+02
4.6115621024e-01 4.8084355375e-05 2.0870208740e-03 7.3832728233e+02 4.1867007748e-01 1.9565267638e+01 1.9662459111e+01 4.6500613106e-02 1.1106743856e-01 1.0112797358e+00 1.0000000000e+00 0.0000000000e+00 7.2707539937e+02
4.5753224801e-01 4.9821391157e-05 2.0824432373e-03 7.3832728233e+02 4.1535898888e-01 1.9565267638e+01 1.9663836236e+01 4.6151104504e-02 1.1111136569e-01 1.0113831334e+00 1.0000000000e+00 0.0000000000e+00 7.2720829562e+02
4.5374801943e-01 5.1741272810e-05 2.0763874054e-03 7.3831989920e+02 4.1191901248e-01 1.9572650764e+01 1.9663547833e+01 4.5768572395e-02 1.1111060915e-01 1.0114918945e+00 1.0000000000e+00 0.0000000000e+00 7.2733380875e+02
4.4967837860e-01 5.3844000335e-05 2.0706195109e-03 7.3832728233e+02 4.0826969219e-01 1.9565267638e+01 1.9664218371e+01 4.5307322998e-02 1.1097400533e-01 1.0116189687e+00 1.0000000000e+00 0.0000000000e+00 7.2747408813e+02
4.4460061682e-01 5.6129573732e-05 2.0641326904e-03 7.3831989920e+02 4.0356918979e-01 1.9572650764e+01 1.9669178908e+01 4.4878804621e-02 1.1120473455e-01 1.0117515387e+00 1.0000000000e+00 0.0000000000e+00 7.2762913376e+02
4.3992691866e-01 5.8597993001e-05 2.0557649219e-03 7.3831989920e+02 3.9940199516e-01 1.9572650764e+01 1.9669640354e+01 4.4325361188e-02 1.1097931839e-01 1.0118976236e+00 1.0000000000e+00 0.0000000000e+00 7.2777679627e+02
4.3408247173e-01 6.1249258141e-05 2.0474524155e-03 7.3832728233e+02 3.9402549046e-01 1.9580033889e+01 1.9671536605e+01 4.3798630739e-02 1.1115684594e-01 1.0120528218e+00 1.0000000000e+00 0.0000000000e+00 7.2794660815e+02
4.2809012159e-01 6.4083369153e-05 2.0403708007e-03 7.3831989920e+02 3.8859936302e-01 1.9557884513e+01 1.9660808001e+01 4.3172607241e-02 1.1109798767e-01 1.0122280646e+00 1.0000000000e+00 0.0000000000e+00 7.2811642003e+02
4.2119748586e-01 6.7100326037e-05 2.0292791466e-03 7.3831989920e+02 3.8226402823e-01 1.9572650764e+01 1.9661565060e+01 4.2546145944e-02 1.1130041752e-01 1.0124059329e+00 1.0000000000e+00 0.0000000000e+00 7.2829361504e+02
