# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
3.0373409398e-01 4.0679097569e-05 2.7803421021e-03 7.3831989920e+02 2.5829172444e-01 1.1702239188e+01 1.1769746973e+01 2.8728178414e-02 1.1122376637e-01 1.6896058810e+00 1.6714000000e+00 0.0000000000e+00 7.3256106147e+02
3.0412806004e-01 4.0770520505e-05 2.7784347534e-03 7.3832728233e+02 2.5869331880e-01 1.1709622314e+01 1.1769768603e+01 2.8725810596e-02 1.1104195009e-01 1.6896037101e+00 1.6714000000e+00 0.0000000000e+00 7.3255367834e+02
3.0217508317e-01 4.1044789312e-05 2.7812111366e-03 7.3831989920e+02 2.5672345947e-01 1.1702239188e+01 1.1766423125e+01 2.8724568761e-02 1.1188914648e-01 1.6896346866e+00 1.6714000000e+00 0.0000000000e+00 7.3256106147e+02
3.0309455966e-01 4.1501903992e-05 2.7800202891e-03 7.3831989920e+02 2.5772181843e-01 1.1702239188e+01 1.1768045393e+01 2.8682685218e-02 1.1129319742e-01 1.6896604690e+00 1.6714000000e+00 0.0000000000e+00 7.3254629522e+02
3.0328135860e-01 4.2141864543e-05 2.7776718140e-03 7.3832728233e+02 2.5797057053e-01 1.1709622314e+01 1.1769083645e+01 2.8646540259e-02 1.1104576851e-01 1.6896932823e+00 1.6714000000e+00 0.0000000000e+00 7.3255367834e+02
3.0256469285e-01 4.2964670966e-05 2.7788162231e-03 7.3831989920e+02 2.5733682956e-01 1.1702239188e+01 1.1769408099e+01 2.8592737358e-02 1.1111016409e-01 1.6897532202e+00 1.6714000000e+00 0.0000000000e+00 7.3254629522e+02
3.0188585485e-01 4.3970323261e-05 2.7780532837e-03 7.3831989920e+02 2.5675625369e-01 1.1702239188e+01 1.1771015948e+01 2.8529862012e-02 1.1111652239e-01 1.6898204511e+00 1.6714000000e+00 0.0000000000e+00 7.3253152897e+02
2.9930662006e-01 4.5158821427e-05 2.7769551184e-03 7.3832728233e+02 2.5422417137e-01 1.1709622314e+01 1.1771938838e+01 2.8486364110e-02 1.1205214656e-01 1.6898979463e+00 1.6714000000e+00 0.0000000000e+00 7.3253891209e+02
3.0001179663e-01 4.6530165465e-05 2.7773857117e-03 7.3832728233e+02 2.5514568602e-01 1.1694856063e+01 1.1765363242e+01 2.8361069098e-02 1.1115637321e-01 1.6899931339e+00 1.6714000000e+00 0.0000000000e+00 7.3252414584e+02
2.9926008716e-01 4.8084355375e-05 2.7738571167e-03 7.3831989920e+02 2.5455618108e-01 1.1702239188e+01 1.1766978301e+01 2.8259361216e-02 1.1101424093e-01 1.6900865540e+00 1.6714000000e+00 0.0000000000e+00 7.3250199646e+02
2.9724565416e-01 4.9821391157e-05 2.7723145639e-03 7.3831989920e+02 2.5270801190e-01 1.1702239188e+01 1.1767324385e+01 2.8147930159e-02 1.1138519095e-01 1.6902021208e+00 1.6714000000e+00 0.0000000000e+00 7.3250199646e+02
