# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
6.4976063363e-01 4.0679097569e-05 2.0546913147e-04 4.7148440641e+02 5.0114671900e-01 2.4418945750e+02 2.4482098779e+02 1.5029736229e+00 2.9990690669e+00 1.0184974398e-01 1.0000000000e-01 0.0000000000e+00 3.0009448231e+02
6.4972513156e-01 4.0770520505e-05 2.0546913147e-04 4.7160175773e+02 5.0108242723e-01 2.4419684062e+02 2.4482075707e+02 1.5032509456e+00 3.0000073120e+00 1.0185023796e-01 1.0000000000e-01 0.0000000000e+00 3.0016093043e+02
6.4955936245e-01 4.1044789312e-05 2.0546913147e-04 4.7199988411e+02 5.0090144605e-01 2.4418945750e+02 2.4482294173e+02 1.5033764033e+00 3.0013417114e+00 1.0185171341e-01 1.0000000000e-01 0.0000000000e+00 3.0043410607e+02
6.4919896366e-01 4.1501903992e-05 2.0527839661e-04 4.7285225295e+02 5.0072465577e-01 2.4419684062e+02 2.4482814020e+02 1.5015480059e+00 2.9987498890e+00 1.0185390664e-01 1.0000000000e-01 0.0000000000e+00 3.0107643797e+02
6.4877781573e-01 4.2141864543e-05 2.0518302917e-04 4.7386206838e+02 5.0037397111e-01 2.4418945750e+02 2.4481914201e+02 1.5008084898e+00 2.9993736213e+00 1.0185715329e-01 1.0000000000e-01 0.0000000000e+00 3.0179260113e+02
6.4823466890e-01 4.2964670966e-05 2.0499229431e-04 4.7520032473e+02 4.9997402145e-01 2.4419684062e+02 2.4482686401e+02 1.4993502645e+00 2.9988563409e+00 1.0186116728e-01 1.0000000000e-01 0.0000000000e+00 3.0275979054e+02
6.4754430464e-01 4.3970323261e-05 2.0480155945e-04 4.7688011552e+02 4.9943628309e-01 2.4418945750e+02 2.4482211978e+02 1.4977784884e+00 2.9989380810e+00 1.0186634798e-01 1.0000000000e-01 0.0000000000e+00 3.0396323997e+02
6.4681178761e-01 4.5158821427e-05 2.0461082458e-04 4.7875967608e+02 4.9878420906e-01 2.4420422375e+02 2.4483399478e+02 1.4969087797e+00 3.0011150163e+00 1.0187236566e-01 1.0000000000e-01 0.0000000000e+00 3.0529220252e+02
6.4589444792e-01 4.6530165465e-05 2.0432472229e-04 4.8101504782e+02 4.9811094294e-01 2.4419684062e+02 2.4483153614e+02 1.4944196169e+00 3.0001742344e+00 1.0187902557e-01 1.0000000000e-01 0.0000000000e+00 3.0693863946e+02
6.4489648271e-01 4.8084355375e-05 2.0403862000e-04 4.8355152629e+02 4.9729773545e-01 2.4420422375e+02 2.4483136310e+02 1.4925007793e+00 3.0012217488e+00 1.0188673278e-01 1.0000000000e-01 0.0000000000e+00 3.0876227141e+02
6.4372197514e-01 4.9821391157e-05 2.0365715027e-04 4.8650779744e+02 4.9643193397e-01 2.4420422375e+02 2.4483267534e+02 1.4893534820e+00 3.0001161894e+00 1.0189520864e-01 1.0000000000e-01 0.0000000000e+00 3.1091814400e+02
6.4246993124e-01 5.1741272810e-05 2.0327568054e-04 4.8968005384e+02 4.9547286319e-01 2.4420422375e+02 2.4483604245e+02 1.4863494533e+00 2.9998604640e+00 1.0190430354e-01 1.0000000000e-01 0.0000000000e+00 3.1323644535e+02
