# M_T	 rho_0	 E_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 
2.9535316795e-01 4.0679097569e-05 4.5936107635e-04 7.3831990641e+02 2.3720857639e-01 2.4415988174e+01 2.4483805767e+01 5.9287924567e-02 2.4994005474e-01 1.0145764515e+00 1.0000000000e+00 0.0000000000e+00 7.2365701956e+02
2.9528196559e-01 4.0770520505e-05 4.5902729034e-04 7.3832728954e+02 2.3715689638e-01 2.4423371299e+01 2.4483805767e+01 5.9268762835e-02 2.4991372268e-01 1.0145794973e+00 1.0000000000e+00 0.0000000000e+00 7.2366440268e+02
2.9430467453e-01 4.1044789312e-05 4.5908726304e-04 7.3832728954e+02 2.3618666048e-01 2.4423371299e+01 2.4484411414e+01 5.9252390387e-02 2.5087102830e-01 1.0145998876e+00 1.0000000000e+00 0.0000000000e+00 7.2364963643e+02
2.9429936575e-01 4.1501903992e-05 4.5879317126e-04 7.3831990641e+02 2.3635368061e-01 2.4415988174e+01 2.4482457481e+01 5.9082701498e-02 2.4997580467e-01 1.0146293903e+00 1.0000000000e+00 0.0000000000e+00 7.2368655206e+02
2.9328562859e-01 4.2141864543e-05 4.5819349866e-04 7.3832728954e+02 2.3546379327e-01 2.4423371299e+01 2.4487122405e+01 5.8952120048e-02 2.5036596594e-01 1.0146681248e+00 1.0000000000e+00 0.0000000000e+00 7.2370870144e+02
2.9251690117e-01 4.2964670966e-05 4.5754909515e-04 7.3832728954e+02 2.3490841198e-01 2.4423371299e+01 2.4485723649e+01 5.8735486041e-02 2.5003568644e-01 1.0147183373e+00 1.0000000000e+00 0.0000000000e+00 7.2373823394e+02
2.9128517474e-01 4.3970323261e-05 4.5682981702e-04 7.3832728954e+02 2.3392302008e-01 2.4423371299e+01 2.4488016455e+01 5.8482035730e-02 2.5000547492e-01 1.0147834779e+00 1.0000000000e+00 0.0000000000e+00 7.2376776644e+02
2.8982204055e-01 4.5158821427e-05 4.5626163483e-04 7.3831990641e+02 2.3274668582e-01 2.4415988174e+01 2.4489263800e+01 5.8186010841e-02 2.4999716166e-01 1.0148616041e+00 1.0000000000e+00 0.0000000000e+00 7.2380468207e+02
2.8823087702e-01 4.6530165465e-05 4.5483112335e-04 7.3831990641e+02 2.3145652540e-01 2.4430754424e+01 2.4492032472e+01 5.7876787753e-02 2.5005468156e-01 1.0149409527e+00 1.0000000000e+00 0.0000000000e+00 7.2384898082e+02
2.8635482633e-01 4.8084355375e-05 4.5402050018e-04 7.3832728954e+02 2.2994399841e-01 2.4423371299e+01 2.4491722438e+01 5.7501553407e-02 2.5006764171e-01 1.0150411876e+00 1.0000000000e+00 0.0000000000e+00 7.2390066269e+02
2.8411147253e-01 4.9821391157e-05 4.5314178420e-04 7.3831990641e+02 2.2808853747e-01 2.4415988174e+01 2.4480842422e+01 5.7098888199e-02 2.5033650894e-01 1.0151530292e+00 1.0000000000e+00 0.0000000000e+00 7.2395234457e+02
2.8262115709e-01 5.1741272810e-05 4.5181203442e-04 7.3832728954e+02 2.2709531332e-01 2.4408605048e+01 2.4481188506e+01 5.6596453050e-02 2.4921893906e-01 1.0152687117e+00 1.0000000000e+00 0.0000000000e+00 7.2404832520e+02
2.7974770863e-01 5.3844000335e-05 4.5022208548e-04 7.3831990641e+02 2.2466329751e-01 2.4415988174e+01 2.4482976607e+01 5.6136499398e-02 2.4986947143e-01 1.0154001943e+00 1.0000000000e+00 0.0000000000e+00 7.2408524083e+02
2.7700956107e-01 5.6129573732e-05 4.4867992401e-04 7.3831990641e+02 2.2242096938e-01 2.4415988174e+01 2.4488203917e+01 5.5623910052e-02 2.5008392962e-01 1.0155392201e+00 1.0000000000e+00 0.0000000000e+00 7.2414430583e+02
2.7375392973e-01 5.8597993001e-05 4.4653465270e-04 7.3831990641e+02 2.1968471533e-01 2.4430754424e+01 2.4491102371e+01 5.5084471827e-02 2.5074330612e-01 1.0156898275e+00 1.0000000000e+00 0.0000000000e+00 7.2418860458e+02
2.7118049619e-01 6.1249258141e-05 4.4438838959e-04 7.3831990641e+02 2.1775804280e-01 2.4430754424e+01 2.4490936539e+01 5.4425500713e-02 2.4993566260e-01 1.0158495839e+00 1.0000000000e+00 0.0000000000e+00 7.2427720208e+02
2.6760815184e-01 6.4083369153e-05 4.4295787811e-04 7.3832728954e+02 2.1486050478e-01 2.4408605048e+01 2.4480993834e+01 5.3727608362e-02 2.5005809429e-01 1.0160352490e+00 1.0000000000e+00 0.0000000000e+00 7.2437318271e+02
2.6409708745e-01 6.7100326037e-05 4.4028759003e-04 7.3831990641e+02 2.1206061314e-01 2.4415988174e+01 2.4486992623e+01 5.2997114064e-02 2.4991493365e-01 1.0162185554e+00 1.0000000000e+00 0.0000000000e+00 7.2443963084e+02
2.5998175549e-01 7.0300128793e-05 4.3761730194e-04 7.3831990641e+02 2.0872306085e-01 2.4415988174e+01 2.4488917716e+01 5.2194928705e-02 2.5006785782e-01 1.0164222068e+00 1.0000000000e+00 0.0000000000e+00 7.2449869584e+02
2.5575740418e-01 7.3682777420e-05 4.3418407440e-04 7.3831990641e+02 2.0532724142e-01 2.4430754424e+01 2.4492630909e+01 5.1343131236e-02 2.5005513580e-01 1.0166293606e+00 1.0000000000e+00 0.0000000000e+00 7.2454299460e+02
