# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 R_G	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e+01 0.0000000000e+00 1.0000000000e-10 -nan -nan 0.0000000000e+00 1.0000000000e+00
1.0060576654e-04 0.0000000000e+00 4.7473265134e-08 1.4766250610e-10 0.0000000000e+00 1.4597620028e+03 3.1516937639e+03 1.0060574108e-05 inf 1.0000001546e+01 1.0000000000e+01 0.0000000000e+00 9.8858000000e+02 0.0000000000e+00 0.0000000000e+00 4.7473265134e-02 1.0000000000e+00
2.8455509101e-04 0.0000000000e+00 3.7978612107e-07 1.4766250610e-10 0.0000000000e+00 5.1609522507e+02 1.1161661174e+03 2.8455520495e-05 inf 1.0000012367e+01 1.0000000000e+01 0.0000000000e+00 3.4951000000e+02 0.0000000000e+00 0.0000000000e+00 3.7978612107e-01 1.0000000000e+00
5.2275609361e-04 0.0000000000e+00 1.2817781586e-06 1.4766250610e-10 0.0000000000e+00 2.8092422629e+02 6.0700733851e+02 5.2275686710e-05 inf 1.0000041739e+01 1.0000000000e+01 0.0000000000e+00 1.9024750000e+02 0.0000000000e+00 0.0000000000e+00 1.2817781586e+00 1.0000000000e+00
8.0482100061e-04 0.0000000000e+00 3.0382889686e-06 1.4766250610e-10 0.0000000000e+00 1.8246471301e+02 3.9462620177e+02 8.0482383246e-05 inf 1.0000098937e+01 1.0000000000e+01 0.0000000000e+00 1.2356875000e+02 0.0000000000e+00 0.0000000000e+00 3.0382889686e+00 1.0000000000e+00
1.1247375827e-03 0.0000000000e+00 5.9341581418e-06 1.4766250610e-10 0.0000000000e+00 1.3056226500e+02 2.8237408752e+02 1.1247453029e-04 inf 1.0000193239e+01 1.0000000000e+01 0.0000000000e+00 8.8419375000e+01 1.6388890485e-08 2.7942494567e+03 4.3390650294e+00 1.0000000000e+00
1.4784393475e-03 0.0000000000e+00 1.0254225269e-05 1.4766250610e-10 0.0000000000e+00 9.9317340158e+01 2.1480418618e+02 1.4784568832e-04 inf 1.0000333925e+01 1.0000000000e+01 0.0000000000e+00 6.7259687500e+01 1.4489976883e-07 6.2933052906e+03 4.3389673813e+00 1.0000000000e+00
1.8629293911e-03 0.0000000000e+00 1.6283329941e-05 1.4766250610e-10 0.0000000000e+00 7.8807018060e+01 1.7046113560e+02 1.8629644759e-04 inf 1.0000530278e+01 1.0000000000e+01 0.0000000000e+00 5.3369687500e+01 inf inf 4.3388311485e+00 1.0000000000e+00
2.2758727911e-03 0.0000000000e+00 2.4306311749e-05 1.4766250610e-10 0.0000000000e+00 6.4498751942e+01 1.3952607129e+02 2.2759367679e-04 inf 1.0000791587e+01 1.0000000000e+01 0.0000000000e+00 4.3679843750e+01 4.5737894741e-04 2.2967348132e+06 4.3386498693e+00 1.0000000000e+00
2.7153768946e-03 0.0000000000e+00 3.4608010283e-05 1.4766250610e-10 0.0000000000e+00 5.4044361871e+01 1.1691905697e+02 2.7154855677e-04 inf 1.0001127148e+01 1.0000000000e+01 0.0000000000e+00 3.6599921875e+01 1.7831850324e-05 3.7009721300e+04 4.3384170947e+00 1.0000000000e+00
