# M_T	 rho_0	 phi_0	 R_F	 N_F	 R_B	 R_B_0	 N_B	 N_B/N_F	 omega	 mu	 lambda	 k2	 lambda_tidal	 phi_1_0	 H_0	 
0.0000000000e+00 0.0000000000e+00 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 1.4766250610e-10 0.0000000000e+00 0.0000000000e+00 -nan 0.0000000000e+00 1.0000000000e-01 2.5132741229e+01 -nan -nan 0.0000000000e+00 1.0000000000e+00
6.6258165038e-05 0.0000000000e+00 7.2142710649e-08 1.4766250610e-10 0.0000000000e+00 1.3053099747e+04 1.4764803518e+04 6.6228797681e-04 inf 1.0000049391e-01 1.0000000000e-01 2.5132741229e+01 0.0000000000e+00 0.0000000000e+00 7.2142710649e-02 1.0000000000e+00
4.0896577448e-03 0.0000000000e+00 5.7714168519e-07 1.4766250610e-10 0.0000000000e+00 1.3032382697e+04 1.4764759219e+04 4.0896364777e-02 inf 1.0000052065e-01 1.0000000000e-01 2.5132741229e+01 0.0000000000e+00 0.0000000000e+00 5.7714168519e-01 1.0000000000e+00
3.4460370873e-02 0.0000000000e+00 1.9478531875e-06 1.4766250610e-10 0.0000000000e+00 1.2835666707e+04 1.4764183335e+04 3.4460308993e-01 inf 1.0000076091e-01 1.0000000000e-01 2.5132741229e+01 7.6347003485e-08 6.8404045628e+11 1.1223731431e+00 1.0000000000e+00
9.0197537588e-02 0.0000000000e+00 4.6171334815e-06 1.4766250610e-10 0.0000000000e+00 1.2072089121e+04 1.4761008591e+04 9.0197900741e-01 inf 1.0000152696e-01 1.0000000000e-01 2.5132741229e+01 1.2644865803e-05 7.1963930360e+13 1.7655720661e+00 1.0000000000e+00
1.3800637342e-01 0.0000000000e+00 9.0178388311e-06 1.4766250610e-10 0.0000000000e+00 1.0269100389e+04 1.4743303857e+04 1.3800779443e+00 inf 1.0000294291e-01 1.0000000000e-01 2.5132741229e+01 4.7604388033e-04 2.3557645129e+15 2.5948762519e+00 1.0000000000e+00
1.8279489349e-01 0.0000000000e+00 1.5582825500e-05 1.4766250610e-10 0.0000000000e+00 8.0478428426e+03 1.4614379723e+04 1.8279819894e+00 inf 1.0000508826e-01 1.0000000000e-01 2.5132741229e+01 1.5448047040e-05 4.1559764195e+14 4.3266428315e+00 1.0000000000e+00
2.3080319380e-01 0.0000000000e+00 2.4744949753e-05 1.4766250610e-10 0.0000000000e+00 6.3951745418e+03 1.3598048226e+04 2.3080983888e+00 inf 1.0000809296e-01 1.0000000000e-01 2.5132741229e+01 2.8842835501e-06 1.2734413871e+14 4.3261306903e+00 1.0000000000e+00
2.8266107842e-01 0.0000000000e+00 3.6937067852e-05 1.4766250610e-10 0.0000000000e+00 5.2349902313e+03 1.1235241401e+04 2.8267326099e+00 inf 1.0001210650e-01 1.0000000000e-01 2.5132741229e+01 4.1888022442e-04 7.1213140233e+15 4.3196955845e+00 1.0000000000e+00
3.3831815276e-01 0.0000000000e+00 5.2592036063e-05 1.4766250610e-10 0.0000000000e+00 4.3878282844e+03 9.4807228862e+03 3.3833899095e+00 inf 1.0001728532e-01 1.0000000000e-01 2.5132741229e+01 4.6496495659e-05 3.3821085322e+14 4.3114147239e+00 1.0000000000e+00
3.9776015565e-01 0.0000000000e+00 7.2142710649e-05 1.4766250610e-10 0.0000000000e+00 3.7468991767e+03 7.8835461552e+03 3.9779391648e+00 inf 1.0002379304e-01 1.0000000000e-01 2.5132741229e+01 -5.4016233565e-04 -1.5620428016e+15 4.3010218293e+00 1.0000000000e+00
4.6104417523e-01 0.0000000000e+00 9.6021947874e-05 1.4766250610e-10 0.0000000000e+00 3.2485382186e+03 7.0059583489e+03 4.6109655282e+00 inf 1.0003180238e-01 1.0000000000e-01 2.5132741229e+01 2.9515839071e-04 4.7310095233e+14 4.2883557628e+00 1.0000000000e+00
5.2827715055e-01 0.0000000000e+00 1.2466260400e-04 1.4766250610e-10 0.0000000000e+00 2.8517727562e+03 6.1550420828e+03 5.2835558942e+00 inf 1.0004149750e-01 1.0000000000e-01 2.5132741229e+01 4.9572099766e-04 4.1586516610e+14 4.2730959564e+00 1.0000000000e+00
